"SampleID"	"obsMND"	"expMND"	"fdr"	"Sex"	"Population"	"Superpopulation"	"macroHap"	"FatherID"	"MotherID"	"deltaMother"	"motherObsMND"	"deltaFather"	"fatherObsMND"	"prop"
"HG01071"	0.854468153461683	0.858742900969261	0.956890391016199	"Women"	"PUR"	"AMR"	"C"	"HG01069"	"HG01070"	0.0725967700575045	0.796635023817826	0.0289151359363365	0.830455422044207	0.995022086933409
"HG01072"	0.827926314419635	0.843481198685964	0.701770831620981	"Men"	"PUR"	"AMR"	"C"	"0"	"0"	NA	NA	NA	NA	0.981558706595284
"HG01079"	0.856311526479751	0.858752828379469	0.999484890075607	"Men"	"PUR"	"AMR"	"B"	"0"	"0"	NA	NA	NA	NA	0.99715715416702
"HG01082"	0.804323893846767	0.801487150844298	0.999484890075607	"Men"	"PUR"	"AMR"	"A"	"0"	"0"	NA	NA	NA	NA	1.00353934932017
"HG01083"	0.847441381583537	0.855540205903943	0.879820549381761	"Women"	"PUR"	"AMR"	"A"	"0"	"0"	NA	NA	NA	NA	0.990533671866597
"HG01084"	0.88533317338975	0.866691613262501	0.614106045157283	"Women"	"PUR"	"AMR"	"A"	"HG01082"	"HG01083"	0.0447131714708201	0.847441381583537	0.100717236131763	0.804323893846767	1.02150887333163
"HG01085"	0.897964097945701	0.888739740779952	0.798261337546992	"Men"	"PUR"	"AMR"	"A"	"0"	"0"	NA	NA	NA	NA	1.01037914334477
"HG01086"	0.804861236188659	0.806323342391977	0.999484890075607	"Women"	"PUR"	"AMR"	"C"	"0"	"0"	NA	NA	NA	NA	0.998186699892651
"HG01087"	0.877214578204005	0.862972865596926	0.701770831620981	"Women"	"PUR"	"AMR"	"C"	"HG01085"	"HG01086"	0.0898954239093034	0.804861236188659	-0.0231072932527763	0.897964097945701	1.01650308274435
"HG01097"	0.865786231188613	0.865413710602751	0.999484890075607	"Men"	"PUR"	"AMR"	"A"	"0"	"0"	NA	NA	NA	NA	1.00043045376021
"HG01100"	0.880581516095535	0.865539830066283	0.678562727031521	"Women"	"PUR"	"AMR"	"C"	"HG01247"	"HG01248"	0.0107270560190701	0.871235721703012	0.0580774616524321	0.832246738079369	1.01737838688267
"HG01101"	0.843157831238889	0.838902522079261	0.956890391016199	"Men"	"PUR"	"AMR"	"C"	"0"	"0"	NA	NA	NA	NA	1.00507247152992
"HG01102"	0.844568665739553	0.838962505381563	0.925684032474407	"Women"	"PUR"	"AMR"	"C"	"0"	"0"	NA	NA	NA	NA	1.00668225376227
"HG01103"	0.87331256490135	0.859806661200718	0.709368257350808	"Women"	"PUR"	"AMR"	"C"	"HG01101"	"HG01102"	0.0340338214378665	0.844568665739553	0.0357640438660851	0.843157831238889	1.01570807055829
"HG01104"	0.879802865555432	0.87622117958718	0.991588399097015	"Men"	"PUR"	"AMR"	"A"	"0"	"0"	NA	NA	NA	NA	1.00408765052899
"HG01105"	0.924561725001527	0.907624893083637	0.614106045157283	"Women"	"PUR"	"AMR"	"A"	"0"	"0"	NA	NA	NA	NA	1.01866060753396
"HG01106"	0.857859064973928	0.844309847558856	0.755617717477721	"Men"	"PUR"	"AMR"	"A"	"HG01104"	"HG01105"	-0.072145166973561	0.924561725001527	-0.0249417243800977	0.879802865555432	1.01604768374341
"HG01107"	0.849489951743938	0.854061484537408	0.956890391016199	"Men"	"PUR"	"AMR"	"A"	"0"	"0"	NA	NA	NA	NA	0.994647302476184
