SampleID	Haplogroup	Overall_Rank
HG01133	B2	0.6938
HG01134	A2q	0.7780
HG01136	B2	0.7160
HG01137	B2	0.7277
HG01139	A2w	0.7598
HG01140	B2	0.7160
HG01142	B2a	0.6263
HG01148	B2	0.7160
HG01149	B2	0.6977
HG01161	B2b3a	0.7132
HG01162	A2am	0.8011
HG01164	B2b3a	0.7096
HG01167	H1b	0.6503
HG01168	U4b1b1	0.8078
HG01170	L3e1e2	0.8594
HG01171	A2ah	0.7599
HG01173	H13a	0.6765
HG01174	A2	0.7875
HG01176	L1b1a3	0.7832
HG01177	A2k1	0.7890
HG01182	A2am	0.8243
HG01183	A2am	0.8243
HG01187	A2	0.7827
HG01188	L2b1a	0.7908
HG01190	C	0.7476
HG01191	B2b3a	0.6949
HG01197	U5b2b3a	0.8628
HG01198	B2b3a	0.7132
HG01200	A2z	0.8018
HG01204	C	0.7476
HG01205	L3b1a+@16124	0.8019
HG01241	L2c	0.8622
HG01242	L1b2a	0.8154
HG01247	L3d4	0.6889
HG01248	C1d	0.7022
HG01250	A2q	0.7780
HG01251	A2ac1	0.7930
HG01253	B2	0.6900
HG01254	B2	0.6780
HG01256	A2w1	0.7304
HG01257	B2	0.6900
HG01259	A2q	0.7780
HG01260	L0a1b1a	0.8019
HG01269	B2	0.7059
HG01271	A2w	0.7905
HG01272	M1a1i	0.8239
HG01275	A2w	0.8098
HG01277	B2	0.6900
HG01280	A2w	0.8098
HG01281	A2w	0.7855
HG01284	A2w	0.7855
HG01286	L2a1l1b	0.7848
HG01302	J1b1a1	0.8491
HG01303	C1c+195	0.6825
HG01305	A2z	0.8059
HG01308	J1b1a1	0.8491
HG01311	A2	0.7338
HG01312	C	0.7476
HG01323	L3e1e2	0.8428
HG01325	A2k1	0.8321
HG01326	L3e1e2	0.8428
HG01334	K2a11	0.8584
HG01341	C1d2	0.7610
HG01342	A2v	0.8002
HG01344	B2	0.6901
HG01345	B2	0.6670
HG01348	A2al	0.8250
HG01350	A2w	0.7855
HG01351	A2w	0.8098
HG01353	B2	0.6884
HG01354	A2w	0.8098
HG01356	A2+(64)+16189	0.7492
HG01357	A2w	0.8098
HG01359	A2+(64)+16189	0.7668
HG01360	B2	0.6793
HG01362	L3b1a+@16124	0.8019
HG01363	L2a1a2c	0.8036
HG01365	L3e1	0.7936
HG01366	B2	0.6766
