SAMPLE	EUR_ANCESTRY
HG01432	0.6622173913043479
HG01433	0.6218695652173911
HG01437	0.7797391304347826
HG01438	0.8395217391304348
HG01439	0.8193913043478261
HG01455	0.4992173913043477
HG01456	0.5009565217391304
HG01457	0.513391304347826
HG01461	0.39156521739130434
HG01462	0.3792173913043478
HG01463	0.39565217391304347
HG01464	0.4679999999999999
HG01465	0.698695652173913
HG01466	0.5728260869565217
HG01488	0.6317826086956522
HG01489	0.7745217391304346
HG01490	0.7326521739130436
HG01491	0.7404782608695651
HG01492	0.6839999999999999
HG01493	0.7279565217391304
HG01494	0.4453043478260871
HG01495	0.45826086956521733
HG01496	0.4643913043478261
HG01497	0.5470869565217391
HG01498	0.526304347826087
HG01499	0.5445217391304348
HG01550	0.6491739130434783
HG01551	0.3705652173913043
HG01552	0.5354347826086956
HG01565	0.2983913043478261
HG01566	0.4865652173913045
HG01567	0.3862173913043478
HG01571	0.31486956521739123
HG01573	0.19217391304347822
HG01577	0.44760869565217404
HG01578	0.35308695652173905
HG01579	0.4206521739130435
HG01892	0.24173913043478262
HG01893	0.287304347826087
HG01898	0.27421739130434786
HG01917	0.16673913043478256
HG01918	0.22213043478260877
HG01919	0.20643478260869566
HG01921	0.24600000000000002
HG01922	0.1597826086956522
HG01924	0.20052173913043478
HG01925	0.11508695652173909
HG01928	0.044391304347826066
HG01932	0.22660869565217387
HG01933	0.2565217391304348
HG01934	0.26856521739130435
HG01935	0.26604347826086955
HG01936	0.2999565217391304
HG01937	0.3077391304347826
HG01939	0.22673913043478255
HG01940	0.1406086956521739
HG01941	0.16830434782608694
HG01942	0.17326086956521738
HG01943	0.1772608695652174
HG01944	0.26517391304347826
HG01945	0.22452173913043474
HG01946	0.2627391304347826
HG01947	0.30547826086956525
HG01948	0.17395652173913045
HG01949	0.25852173913043475
HG01950	0.14195652173913043
HG01952	0.10282608695652173
HG01953	0.12086956521739131
HG01955	0.08569565217391302
HG01967	0.3291304347826087
HG01969	0.19847826086956524
HG01970	0.3119130434782608
HG01971	0.2946086956521739
HG01972	0.3064347826086956
HG01973	0.20056521739130437
HG01975	0.11234782608695651
HG01976	0.33247826086956517
HG01977	0.22360869565217395
HG01978	0.2740869565217391
HG01979	0.2940434782608696
HG01980	0.25478260869565217
HG01981	0.29217391304347823
HG01982	0.23534782608695654
HG01983	0.2959130434782608
HG01984	0.2765652173913044
HG01991	0.24808695652173918
HG01992	0.13843478260869563
HG01993	0.19843478260869565
HG01997	0.141
HG01998	0.16573913043478267
HG02002	0.23217391304347826
HG02003	0.19043478260869565
HG02004	0.19578260869565214
HG02008	0.20039130434782604
HG02089	0.3000869565217391
HG02090	0.2938260869565217
HG02091	0.3219130434782609
HG02104	0.1515217391304348
HG02106	0.09026086956521738
HG02146	0.17895652173913046
HG02148	0.12678260869565214
HG02260	0.2033478260869565
HG02261	0.12556521739130436
HG02273	0.04382608695652171
HG02277	0.3145652173913044
HG02279	0.1673913043478261
HG02285	0.2125217391304348
HG02286	0.25860869565217387
HG02287	0.25169565217391304
HG02292	0.18095652173913046
HG02293	0.12069565217391304
HG02298	0.35317391304347817
HG02299	0.15852173913043477
HG02300	0.285695652173913
HG02301	0.1748695652173913
HG02302	0.34330434782608693
HG02303	0.24926086956521737
NA19648	0.8278260869565217
NA19649	0.6839999999999999
NA19650	0.7665652173913043
NA19651	0.6156521739130435
NA19652	0.6353913043478261
NA19653	0.6366956521739129
NA19654	0.3780434782608696
NA19655	0.5685652173913044
NA19656	0.4749130434782608
NA19657	0.36017391304347834
NA19658	0.5903043478260869
NA19659	0.47678260869565214
NA19660	0.4500869565217391
NA19661	0.4497391304347826
NA19662	0.48134782608695653
NA19663	0.3319565217391304
NA19664	0.41695652173913045
NA19665	0.36430434782608695
NA19669	0.5725652173913044
NA19670	0.43786956521739123
NA19671	0.5023478260869565
NA19675	0.7389565217391304
NA19676	0.5826521739130435
NA19677	0.6456956521739131
NA19678	0.6294347826086956
NA19679	0.8348695652173915
NA19680	0.7237826086956523
NA19681	0.34947826086956524
NA19682	0.44534782608695644
NA19683	0.4209130434782609
NA19684	0.6330869565217391
NA19685	0.4814782608695653
NA19686	0.5459130434782609
NA19716	0.39034782608695656
NA19717	0.33195652173913043
NA19718	0.3664347826086956
NA19719	0.46734782608695646
NA19720	0.30826086956521737
NA19721	0.4266086956521739
NA19722	0.44091304347826077
NA19723	0.3952173913043478
NA19724	0.47082608695652184
NA19725	0.554
NA19726	0.34173913043478255
NA19727	0.45291304347826083
NA19729	0.1293478260869565
NA19730	0.08282608695652172
NA19733	0.044347826086956504
NA19746	0.2986086956521739
NA19747	0.42230434782608695
NA19748	0.3791739130434782
NA19749	0.5146521739130435
NA19750	0.6001304347826086
NA19751	0.5713478260869566
NA19755	0.2773913043478261
NA19756	0.43378260869565227
NA19757	0.3368695652173913
NA19758	0.2488260869565217
NA19759	0.23508695652173908
NA19760	0.24365217391304347
NA19761	0.38399999999999995
NA19762	0.30673913043478257
NA19763	0.3688695652173914
NA19770	0.4898260869565218
NA19771	0.42595652173913046
NA19772	0.47726086956521735
NA19773	0.5429565217391304
NA19774	0.4322608695652173
NA19775	0.5121304347826087
NA19776	0.411304347826087
NA19777	0.45373913043478253
NA19778	0.46039130434782605
NA19779	0.5820869565217391
NA19780	0.5592173913043478
NA19781	0.5608260869565218
